code,description
020710,"Meat and edible offal: poultry, not cut in pieces, fresh or chilled"
020721,"Meat and edible offal: fowls of the species gallus domesticus, not cut in pieces, frozen"
020722,"Meat and edible offal: turkeys, not cut in pieces, frozen"
020723,"Meat and edible offal: ducks, geese and guinea fowls, not cut in pieces, frozen"
020731,"Offal, edible: of geese or ducks, fatty livers, fresh or chilled"
020739,"Meat and edible offal: poultry cuts and offal (including livers but excluding the fatty livers of geese or ducks), fresh or chilled"
020741,"Meat and edible offal: of fowls of the species gallus domesticus, poultry cuts and offal (excluding livers), frozen"
020742,"Meat and edible offal: of turkeys, poultry cuts and offal (excluding livers), frozen"
020743,"Meat and edible offal: of ducks, geese or guinea fowls, poultry cuts and offal (excluding livers) frozen"
020750,"Offal, edible: of poultry, livers, frozen"
020810,"Meat and edible meat offal: of rabbits or hares, fresh, chilled or frozen"
020820,"Meat and edible meat offal: frogs' legs, fresh, chilled or frozen"
020890,"Meat and edible meat offal: n.e.s. in chapter 2, fresh, chilled or frozen"
020900,"Fat: pig fat, free of lean meat, and poultry fat, (not rendered), fresh, chilled, frozen, salted, in brine, dried or smoked"
021011,"Meat, preserved: of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine, dried or smoked"
021012,"Meat, preserved: of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked"
021019,"Meat, preserved: of swine, salted, in brine, dried or smoked, n.e.s. in item no. 0210.1"
021020,"Meat, preserved: of bovine animals, salted, in brine, dried or smoked"
021090,"Meat and edible meat offal, preserved: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.s. in heading no. 0210"
030110,"Fish: live, ornamental"
030191,"Fish: live, trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae)"
030192,"Fish: live, eels (anguilla spp.)"
030193,"Fish: live, carp"
030199,"Fish: live, n.e.s. in heading no. 0301"
030211,"Fish: trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030212,"Fish: Pacific salmon (oncorhynchus spp.), Atlantic salmon (salmo salar), Danube salmon (hucho hucho), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030219,"Fish: salmonidae, fresh or chilled, n.e.s. in item no. 0302.1 (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030221,"Fish: halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030222,"Fish: plaice (pleuronectes platessa), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030223,"Fish: sole (solea spp.), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030229,"Fish: flat fish, fresh or chilled, n.e.s. in item no. 0302.2 (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030231,"Fish: albacore or longfinned tunas (thunnus alalunga), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030232,"Fish: yellowfin tunas (thunnus albacares), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030233,"Fish: skipjack or stripe-bellied bonito, fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030239,"Fish: tuna, fresh or chilled, n.e.s. in item no. 0302.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030240,"Fish: herrings (clupea harengus, clupea pallasii), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030250,"Fish: cod (gadus morhua, gadus ogac, gadus macrocephalus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030261,"Fish: sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030262,"Fish: haddock (melanogrammus aeglefinus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030263,"Fish: coalfish (pollachius virens), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030264,"Fish: mackerel (scomber scombrus, scomber australasicus, scomber japonicus), fresh of chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030265,"Fish: dogfish and other sharks, fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030266,"Fish: eels (anguilla spp.), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030269,"Fish: fresh or chilled, n.e.s. in heading no. 0302 (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030270,"Fish: livers and roes, fresh or chilled"
030310,"Fish: Pacific salmon, (oncorhynchus spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030321,"Fish: trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030322,"Fish: Atlantic salmon (salmo salar) and Danube salmon (hucho hucho), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030329,"Fish: salmonidae, frozen, n.e.s. in item no. 0302.1 and 0302.2 (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030331,"Fish: halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030332,"Fish: plaice (pleuronectes platessa), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030333,"Fish: sole (solea spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030339,"Fish: flat fish, frozen, n.e.s. in item no. 0303.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030341,"Fish: albacore or longfinned tunas (thunnus alalunga), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030342,"Fish: yellowfin tunas (thunnus albacares), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030343,"Fish: skipjack or stripe-bellied bonito, frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030349,"Fish: tuna, frozen, n.e.s. in item no. 0303.4 (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030350,"Fish: herrings (clupea harengus, clupea pallasii), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030360,"Fish: cod (gadus morhua, gadus ogac, gadus macrocephalus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030371,"Fish: sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030372,"Fish: haddock (melanogrammus aeglefinus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030373,"Fish: coalfish (pollachius virens), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030374,"Fish: mackerel (scomber scombrus, scomber australasicus, scomber japonicus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030375,"Fish: dogfish and other sharks, frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030376,"Fish: eels (anguilla spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030377,"Fish: sea bass (dicentrarchus labrax, dicentrarchus punctatus), frozen, (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030378,"Fish: hake (merluccius spp., urophycis spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030379,"Fish: frozen, n.e.s. in heading no. 0303 (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
030380,"Fish: livers and roes, frozen"
030410,"Fish: fillets and other fish meat, fresh or chilled (whether or not minced)"
030420,"Fish: fillets, frozen"
030490,"Fish: fish meat n.e.s. in heading no. 0304 (whether or not minced), fresh, chilled or frozen"
030510,Fish meal: fit for human consumption
030520,"Fish: livers and roes, dried, smoked (whether or not cooked before or during the smoking process), salted or in brine"
030530,"Fish: fillets, dried, salted or in brine, but not smoked"
030541,"Fish: Pacific salmon (oncorhynchus spp.), Atlantic salmon (salmo salar) and Danube salmon (hucho hucho), including fillets, smoked (whether or not cooked before or during the smoking process)"
030542,"Fish: herrings (clupea harengus, clupea pallasii), including fillets: smoked (whether or not cooked before or during the smoking process)"
030549,"Fish: smoked (whether or not cooked before or during the smoking process), n.e.s. in item no. 0305.4 (including fillets)"
030551,"Fish: cod (gadus morhua, gadus ogac, gadus macrocephalus), dried (whether or not salted but not smoked)"
030559,"Fish: dried (whether or not salted but not smoked), n.e.s. in item no. 0305.51"
030561,"Fish: herrings (clupea harengas, clupea pallasii), salted or in brine but not dried or smoked"
030562,"Fish: cod (gadus morhua, gadus ogac, gadus macrocephalus), salted or in brine but not dried or smoked"
030563,"Fish: anchovies (engraulis spp.), salted or in brine but not dried or smoked"
030569,"Fish: salted or in brine, but not dried or smoked, n.e.s. in item no. 0305.6"
030611,"Crustaceans: rock lobsters and other sea crawfish (palinurus spp., panulirus spp., jasus spp.), frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)"
030612,"Crustaceans: lobsters (homarus spp.), frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)"
030613,"Crustaceans: shrimps and prawns, frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)"
030614,"Crustaceans: crabs, frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)"
030619,"Crustaceans: frozen, n.e.s. in item no. 0306.1 (whether in shell or not, whether or not cooked by steaming or by boiling in water)"
030621,"Crustaceans: rock lobster and other sea crawfish (palinurus spp., panulirus spp., jasus spp.), not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)"
030622,"Crustaceans: lobsters (homarus spp.), not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)"
030623,"Crustaceans: shrimps and prawns, not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)"
030624,"Crustaceans: crabs, not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)"
030629,"Crustaceans: not frozen, n.e.s. in heading no. 0306, (whether in shell or not, whether or not cooked by steaming or by boiling in water)"
030710,"Molluscs: oysters, live, fresh, chilled, frozen, dried, salted or in brine (whether in shell or not)"
030721,"Molluscs: scallops (including queen scallops of the genera pecten, chlamys or placopecten), live, fresh or chilled (whether in shell or not)"
030729,"Molluscs: scallops (including queen scallops of the genera pecten, chlamys or placopecten), frozen, dried, salted or in brine (whether in shell or not)"
030731,"Molluscs: mussels (mytilus spp., perna spp.), live, fresh or chilled (whether in shell or not)"
030739,"Molluscs: mussels (mytilus spp., perna spp.), frozen, dried, salted or in brine (whether in shell or not)"
030741,"Molluscs: cuttle fish and squid, live, fresh or chilled (whether in shell or not)"
030749,"Molluscs: cuttle fish and squid, frozen, dried, salted or in brine (whether in shell or not)"
030751,"Molluscs: octopus (octopus spp.), live, fresh or chilled"
030759,"Molluscs: octopus (octopus spp.), frozen, dried, salted or in brine"
030760,"Molluscs: snails (other than sea snails), live, fresh, chilled, frozen, dried, salted or in brine (whether in shell or not)"
030791,"Molluscs and other aquatic invertebrates: live, fresh or chilled (whether in shell or not), n.e.s. in heading no. 0307"
030799,"Molluscs and other aquatic invertebrates: frozen, dried, salted or in brine (whether in shell or not), n.e.s. in heading no. 0307"
040110,"Dairy produce: milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content not exceeding 1% (by weight)"
040120,"Dairy produce: milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 1% but not exceeding 6% (by weight)"
040130,"Dairy produce: milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 6% (by weight)"
040210,"Dairy produce: milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)"
040221,"Dairy produce: milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)"
040229,"Dairy produce: milk and cream, containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)"
040291,"Dairy produce: milk and cream, concentrated, not containing added sugar or other sweetening matter, other than in powder, granules or other solid forms"
040299,"Dairy produce: milk and cream, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms"
040310,"Dairy produce: yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa"
040390,"Dairy produce: buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit or cocoa (excluding yoghurt)"
040410,"Dairy produce: whey, whether or not concentrated or containing added sugar or other sweetening matter"
040490,"Dairy produce: natural milk constituents (excluding whey), whether or not containing added sugar or other sweetening matter, n.e.s. in chapter 04"
040500,Dairy produce: butter and other fats and oils derived from milk
040610,"Dairy produce: fresh cheese (including whey cheese), not fermented, and curd"
040620,"Dairy produce: cheese of all kinds, grated or powdered"
040630,"Dairy produce: cheese, processed (not grated or powdered)"
040640,"Dairy produce: cheese, blue-veined (not grated, powdered or processed)"
040690,"Dairy produce: cheese (not grated, powdered or processed), n.e.s. in heading no. 0406"
040700,"Eggs: birds' eggs, in the shell, fresh, preserved or cooked"
040811,"Eggs: birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter"
040819,"Eggs: birds' eggs, yolks, fresh, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter"
040891,"Eggs: birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter"
040899,"Eggs: birds' eggs (not in shell, excluding yolks only), fresh, cooked by steaming or boiling in water, moulded, frozen, otherwise preserved, whether or not containing added sugar or other sweetening matter"
040900,Honey: natural
041000,"Animal products: edible, n.e.s. in this or other chapters"
050100,"Animal products: hair, human, unworked, whether or not washed or scoured, and waste of human hair"
050210,"Animal products: hair and bristles, of pigs, hogs or boars, and waste thereof"
050290,"Animal products: badger hair and other brush making hair and waste of such bristles or hair, n.e.s. in heading no. 0502 (excluding horsehair)"
050300,"Animal products: horsehair and horsehair waste, whether or not put up as a layer with or without supporting material"
050400,"Animal products: guts, bladders and stomachs of animals (other than fish), whole and pieces thereof"
050510,"Animal products: feathers and down used for stuffing, not further worked than cleaned, disinfected or treated for preservation"
050590,"Animal products: skins and other parts of birds, feathers and down (not for stuffing), powder and waste of such, not further worked than cleaned, disinfected or treated for preservation"
050610,Animal products: ossein and bones treated with acid
050690,"Animal products: bones and horn-cores and powder or waste of such, unworked, defatted, simply prepared (not cut to shape), or treated with acid or degelatinised, n.e.s. in heading no. 0506"
050710,"Animal products: ivory, unworked or simply prepared but not cut to shape, ivory powder and waste"
050790,"Animal products: tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape, waste and powder of these products"
050800,"Animal products:  coral and similar materials, shells of molluscs, crustaceans, echinoderms, cuttle-bone etc., unworked or simply prepared (but not cut to shape), and powder and waste thereof"
050900,Animal products: natural sponges of animal origin
051000,"Animal products: ambergris, castoreum, civet, musk, cantharides, bile (dried or not) glands and other animal products, for pharmaceutical purposes, fresh, chilled, frozen or otherwise provisionally preserved"
051110,Animal products: bovine semen
051191,"Animal products: of fish or crustaceans, molluscs or other aquatic invertebrates and dead animals of chapter 3, unfit for human consumption"
051199,Animal products: n.e.s. in chapter 5
060110,"Plants, live: bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant"
060120,"Plants, live: bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower, chicory plants and roots other than of heading no. 1212"
060210,"Plants, live: unrooted cuttings and slips"
060220,"Plants, live: edible fruit or nut trees, shrubs and bushes, grafted or not"
060230,"Plants, live: rhododendrons and azaleas, grafted or not"
060240,"Plants, live: roses, grafted or not"
060291,"Plants, live: mushroom spawn"
060299,"Plants, live: n.e.s. in heading no. 0602"
060310,"Flowers, cut: flowers, buds of a kind suitable for bouquets or for ornamental purposes, fresh"
060390,Flowers: n.e.s. in heading no. 0603
060410,"Mosses and lichens: of a kind suitable for bouquets or ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared"
060491,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses: being goods of a kind suitable for bouquets or for ornamental purposes, fresh"
060499,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses: kind suitable for bouquets or for ornamental purposes dried, dyed, bleached, impregnated, otherwise prepared, excluding fresh"
070110,"Vegetables: seed potatoes, fresh or chilled"
070190,"Vegetables: potatoes (other than seed), fresh or chilled"
070200,"Vegetables: tomatoes, fresh or chilled"
070310,"Vegetables, alliaceous: onions and shallots, fresh or chilled"
070320,"Vegetables, alliaceous: garlic, fresh or chilled"
070390,"Vegetables, alliaceous: leeks and other kinds n.e.s. in heading no. 0703, fresh or chilled"
070410,"Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled"
070420,"Vegetables, brassica: brussel sprouts, fresh or chilled"
070490,"Vegetables, brassica: edible, n.e.s. in heading no. 0704, fresh or chilled"
070511,"Vegetables: cabbage (head) lettuce (lactuca sativa), fresh or chilled"
070519,"Vegetables: lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled"
070521,"Vegetables: witloff chicory (cichorium intybus var. foliosum), fresh or chilled"
070529,"Vegetables: chicory (cichorium spp.), (other than witloof chicory), fresh or chilled"
070610,"Vegetables, root: carrots and turnips, fresh or chilled"
070690,"Vegetables, root: salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled"
070700,"Vegetables: cucumbers and gherkins, fresh or chilled"
070810,"Vegetables, leguminous: peas (pisum sativum), shelled or unshelled, fresh or chilled"
070820,"Vegetables, leguminous: beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled"
070890,"Vegetables, leguminous: (other than peas and beans), shelled or unshelled, fresh or chilled"
070910,"Vegetables: globe artichokes, fresh or chilled"
070920,"Vegetables: asparagus, fresh or chilled"
070930,"Vegetables: aubergines, (egg plants), fresh or chilled"
070940,"Vegetables: celery (other than celeriac), fresh or chilled"
070951,"Vegetables: mushrooms, fresh or chilled"
070952,"Vegetables: truffles, fresh or chilled"
070960,Vegetables: fruits of the genus capsicum or of the genus pimenta
070970,"Vegetables: spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled"
070990,"Vegetables: edible, n.e.s. in chapter 7, fresh or chilled"
071010,"Vegetables: potatoes, uncooked or cooked by steaming or boiling in water, frozen"
071021,"Vegetables, leguminous: peas (pisum sativum), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen"
071022,"Vegetables, leguminous: beans (vigna spp., phaseolus spp.), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen"
071029,"Vegetables, leguminous: (other than peas or beans), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen"
071030,"Vegetables: spinach, New Zealand spinach and orache spinach (garden spinach), uncooked or cooked by steaming or boiling in water, frozen"
071040,"Vegetables: sweetcorn, uncooked or cooked by steaming or boiling in water, frozen"
071080,"Vegetables: uncooked or cooked by steaming or boiling in water, frozen, n.e.s. in chapter 7"
071090,"Vegetable mixtures: uncooked or cooked by steaming or boiling in water, frozen"
071110,"Vegetables: onions, provisionally preserved by sulphur dioxide gas, but unsuitable in that state for immediate consumption"
071120,"Vegetables: olives, provisionally preserved but unsuitable in that state for immediate consumption"
071130,"Vegetables: capers, provisionally preserved but unsuitable in that state for immediate consumption"
071140,"Vegetables: cucumbers and gherkins, provisionally preserved but unsuitable in that state for immediate consumption"
071190,"Vegetables and mixed vegetables: n.e.s. in heading no. 0711, provisionally preserved but unsuitable in that state for immediate consumption"
071210,"Vegetables: potatoes, whether or not cut or sliced but not further prepared, dried"
071220,"Vegetables: onions, whole, cut, sliced, broken or in powder but not further prepared, dried"
071230,"Vegetables: mushrooms and truffles, whole, cut, sliced, broken or in powder but not further prepared, dried"
071290,"Vegetables: mixtures of vegetables n.e.s. in heading no. 0712, whole, cut, sliced, broken or in powder but not further prepared, dried"
071310,"Vegetables, leguminous: peas (pisum sativum), shelled, whether or not skinned or split, dried"
071320,"Vegetables, leguminous: chickpeas (garbanzos), shelled, whether or not skinned or split, dried"
071331,"Vegetables, leguminous: beans of the species vigna mungo (l.) hepper or vigna radiata (l.) wilczek, dried, shelled, whether or not skinned or split"
071332,"Vegetables, leguminous: small red (adzuki) beans (phaseolus or vigna angularis), shelled, dried, whether or not skinned or split"
071333,"Vegetables, leguminous: kidney beans, including white pea beans (phaseolus vulgaris), dried, shelled, whether or not skinned or split"
071339,"Vegetables, leguminous: n.e.s. in item no. 0713.30, dried, shelled, whether or not skinned or split"
071340,"Vegetables, leguminous: lentils, shelled, whether or not skinned or split, dried"
071350,"Vegetables, leguminous: broad beans (vicia faba var. major) and horse beans (vicia faba var. equina and vicia faba var. minor), dried, shelled, whether or not skinned or split"
071390,"Vegetables, leguminous: n.e.s. in heading no. 0713, shelled, whether or not skinned or split, dried"
071410,"Vegetable roots and tubers: manioc (cassava), with high starch or inulin content, whether or not sliced or in the form of pellets, fresh or dried"
071420,"Vegetable roots and tubers: sweet potatoes, with high starch or inulin content, whether or not sliced or in the form of pellets, fresh or dried"
071490,"Vegetable roots and tubers: arrowroot, salep, Jerusalem artichokes and similar roots and tubers, high starch or inulin content, whether or not sliced or in the form of pellets, fresh or dried: sago pith"
080110,"Nuts, edible: coconuts, fresh or dried, whether or not shelled or peeled"
080120,"Nuts, edible: Brazil nuts, fresh or dried, whether or not shelled or peeled"
080130,"Nuts, edible: cashew nuts, fresh or dried, whether or not shelled or peeled"
080211,"Nuts, edible: almonds, fresh or dried, in shell"
080212,"Nuts, edible: almonds, fresh or dried, shelled"
080221,"Nuts, edible: hazelnuts or filberts (corylus spp.), fresh or dried, in shell"
080222,"Nuts, edible: hazelnuts or filberts (corylus spp.), fresh or dried, shelled"
080231,"Nuts, edible: walnuts, fresh or dried, in shell"
080232,"Nuts, edible: walnuts, fresh or dried, shelled"
080240,"Nuts, edible: chestnuts (castanea spp.), fresh or dried, whether or not shelled or peeled"
080250,"Nuts, edible: pistachios, fresh or dried, whether or not shelled or peeled"
080290,"Nuts, edible: n.e.s. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled"
080300,"Fruit, edible: bananas, (including plantains), fresh or dried"
080410,"Fruit, edible: dates, fresh or dried"
080420,"Fruit, edible: figs, fresh or dried"
080430,"Fruit, edible: pineapples, fresh or dried"
080440,"Fruit, edible: avocados, fresh or dried"
080450,"Fruit, edible: guavas, mangoes and mangosteens, fresh or dried"
080510,"Fruit, edible: oranges, fresh or dried"
080520,"Fruit, edible: mandarins (including tangerines and satsumas), clementines, wilkings and similar citrus hybrids, fresh or dried"
080530,"Fruit, edible: lemons (citrus limon, citrus limonum), limes (citrus aurantifolia)"
080540,"Fruit, edible: grapefruit, fresh or dried"
080590,"Fruit, edible: citrus fruit n.e.s. in heading no. 0805, fresh or dried"
080610,"Fruit, edible: grapes, fresh"
080620,"Fruit, edible: grapes, dried"
080710,"Fruit, edible: melons (including watermelons), fresh"
080720,"Fruit, edible: papaws (papayas), fresh"
080810,"Fruit, edible: apples, fresh"
080820,"Fruit, edible: pears and quinces, fresh"
080910,"Fruit, edible: apricots, fresh"
080920,"Fruit, edible: cherries, fresh"
080930,"Fruit, edible: peaches including nectarines, fresh"
080940,"Fruit, edible: plums and sloes, fresh"
081010,"Fruit, edible: strawberries, fresh"
081020,"Fruit, edible: raspberries, blackberries, mulberries and loganberries, fresh"
081030,"Fruit, edible: black, white or red currants and gooseberries, fresh"
081040,"Fruit, edible: cranberries, bilberries and other fruits of the genus vaccinium, fresh"
081090,"Fruit, edible: fruits n.e.s. in heading no. 0801 to 0810, fresh"
081110,"Fruit, edible: strawberries, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter"
081120,"Fruit, edible: raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter"
081190,"Fruit, edible: fruit and nuts n.e.s. in heading no. 0811, uncooked or cooked, frozen whether or not containing added sugar or other sweetening matter"
081210,"Fruit, edible: cherries, provisionally preserved, but unsuitable in that state for immediate consumption"
081220,"Fruit, edible: strawberries, provisionally preserved, but unsuitable in that state for immediate consumption"
081290,"Fruit, edible: fruit and nuts n.e.s. in heading no. 0812, provisionally preserved, but unsuitable in that state for immediate consumption"
081310,"Fruit, edible: apricots, dried"
081320,"Fruit, edible: prunes, dried"
081330,"Fruit, edible: apples, dried"
081340,"Fruit, edible: fruit n.e.s. in heading no. 0812, dried"
081350,"Nuts, edible: mixtures of nuts or dried fruits of chapter 8"
081400,"Peel: of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water and other preservative solutions"
090111,Coffee: not roasted or decaffeinated
090112,"Coffee: decaffeinated, not roasted"
